timestamp,datapath,rx-pkts,rx-bytes,rx-error,rx_dropped,tx-pkts,tx-bytes,tx-error,tx_dropped,duration_nsec,label
1694687833.394588,4,3667659,80575445736,0,0,2618519,175541450,0,0,708,0
1694687833.394588,4,21076756,1417831832,0,0,30865784,674099828991,0,0,708,0
1694687833.394588,4,0,0,0,590,0,0,0,0,708,0
1694687833.395369,7,1890810,30363520254,0,0,1434266,96275093,0,0,708,0
1694687833.395369,7,1131481,16772706632,0,0,858380,58184569,0,0,708,0
1694687833.395369,7,2292000,154401941,0,0,3022484,47136240700,0,0,708,0
1694687833.395369,7,0,0,0,594,0,0,0,0,708,0
1694687833.396051,9,1490076,19663996974,0,0,1168629,78586959,0,0,708,0
1694687833.396051,9,1482284,17419624632,0,0,1158977,77672755,0,0,708,0
1694687833.396051,9,2326966,156202824,0,0,2972563,37083634704,0,0,708,0
1694687833.396051,9,0,0,0,588,0,0,0,0,708,0
1694687833.396786,11,1256722,16579943914,0,0,992692,67210235,0,0,708,0
1694687833.396786,11,1650291,34654130138,0,0,1162905,78419869,0,0,708,0
1694687833.396786,11,2154949,145572225,0,0,2907201,51234087568,0,0,708,0
1694687833.396786,11,0,0,0,591,0,0,0,0,708,0
1694687833.397738,6,3195174,130768290568,0,0,1363088,91079373,0,0,708,0
1694687833.397738,6,1874036,27969712216,0,0,1442217,97142319,0,0,708,0
1694687833.397738,6,2804654,188163161,0,0,5069409,158738017118,0,0,708,0
1694687833.397738,6,0,0,0,595,0,0,0,0,708,0
1694687833.398511,12,3095137,126744041980,0,0,1319759,88396660,0,0,708,0
1694687833.398511,12,1153918,15877933002,0,0,899397,61384940,0,0,708,0
1694687833.398511,12,2218523,149725886,0,0,4249242,142621988524,0,0,708,0
1694687833.398511,12,0,0,0,579,0,0,0,0,708,0
1694687833.400539,15,30865784,674099828991,0,0,21076756,1417831832,0,0,708,0
1694687833.400539,15,5218555,353473834,0,0,7802443,175204278844,0,0,708,0
1694687833.400539,15,4912082,330768432,0,0,7445729,170636696408,0,0,708,0
1694687833.400539,15,6246339,418479438,0,0,8820212,179535835612,0,0,708,0
1694687833.400539,15,4699770,315108612,0,0,6799210,148722422930,0,0,708,0
1694687833.400539,15,0,0,0,590,0,0,0,0,708,0
1694687833.401227,5,1952597,30655817758,0,0,1484986,99767459,0,0,708,0
1694687833.401227,5,1442110,43964268274,0,0,893032,60426659,0,0,708,0
1694687833.401227,5,2377367,160135401,0,0,3394892,74620099338,0,0,708,0
1694687833.401227,5,0,0,0,596,0,0,0,0,708,0
1694687833.401374,14,603,52959,0,0,31,3518,0,0,708,0
1694687833.401374,14,0,0,0,594,0,0,0,0,708,0
1694687833.401683,13,1603159,27061971788,0,0,1194686,80695491,0,0,708,0
1694687833.401683,13,1166284,16270760808,0,0,906138,61336955,0,0,708,0
1694687833.401683,13,2100177,141974657,0,0,2769640,43332746690,0,0,708,0
